child	father	mother	sex
HG01959	HG01986	HG01958	F
HG01960	HG01988	HG01989	F
HG01969	HG01967	HG01968	F
HG01972	HG01970	HG01971	F
HG01975	HG01974	HG01973	F
HG01978	HG01977	HG01976	F
HG01981	HG01979	HG01980	F
HG01984	HG01982	HG01983	M
HG01987	HG01990	HG02012	M
HG01993	HG01991	HG01992	F
HG01998	HG02008	HG01997	M
HG02004	HG02002	HG02003	F
HG02011	HG02009	HG02010	M
HG02015	HG02017	HG02016	M
HG02018	HG02020	HG02019	F
HG02024	HG02026	HG02025	F
HG02027	HG02029	HG02028	M
HG02030	HG02032	HG02031	M
HG02055	HG02053	HG02054	M
HG02056	HG02058	HG02057	M
HG02059	HG02061	HG02060	F
HG02068	HG02070	HG02069	F
HG02071	HG02073	HG02072	M
HG02074	HG02076	HG02075	M
HG02077	HG02079	HG02078	M
HG02080	HG02082	HG02081	F
HG02083	HG02085	HG02084	M
HG02091	HG02090	HG02089	F
HG02106	HG02104	HG02105	F
HG02120	HG02122	HG02121	M
HG02126	HG02128	HG02127	F
HG02129	HG02131	HG02130	M
HG02132	HG02134	HG02133	M
HG02135	HG02137	HG02136	M
HG02145	HG02143	HG02144	M
HG02148	HG02146	HG02147	F
HG02222	HG02221	HG02220	F
HG02225	HG02224	HG02223	F
HG02229	HG02231	HG02230	F
HG02234	HG02233	HG02232	M
HG02237	HG02236	HG02235	F
HG02240	HG02238	HG02239	F
HG02257	HG02255	HG02256	F
HG02258	HG02314	HG02315	M
HG02261	HG02259	HG02260	M
HG02273	HG02271	HG02272	F
HG02279	HG02277	HG02278	M
HG02280	HG02307	HG02308	F
HG02287	HG02285	HG02286	F
HG02293	HG02291	HG02292	F
HG02300	HG02299	HG02298	F
HG02303	HG02302	HG02301	F
HG02316	HG02317	HG02318	M
HG02321	HG02281	HG02282	F
HG02451	HG02449	HG02450	F
HG02463	HG02461	HG02462	M
HG02466	HG02464	HG02465	M
HG02492	HG02490	HG02491	M
HG02495	HG02493	HG02494	F
HG02514	HG02512	HG02513	M
HG02523	HG02521	HG02522	F
HG02526	HG02524	HG02525	F
HG02563	HG02561	HG02562	M
HG02572	HG02570	HG02571	M
HG02575	HG02573	HG02574	M
HG02584	HG02582	HG02583	M
HG02587	HG02585	HG02586	F
HG02590	HG02588	HG02589	M
HG02596	HG02594	HG02595	M
HG02602	HG02600	HG02601	M
HG02605	HG02603	HG02604	F
HG02612	HG02610	HG02611	M
HG02615	HG02613	HG02614	F
HG02622	HG02620	HG02621	F
HG02625	HG02623	HG02624	M
HG02630	HG02628	HG02629	F
HG02636	HG02634	HG02635	M
HG02644	HG02642	HG02643	M
HG02647	HG02645	HG02646	M
HG02650	HG02648	HG02649	M
HG02653	HG02651	HG02652	F
HG02656	HG02654	HG02655	M
HG02659	HG02657	HG02658	F
HG02662	HG02660	HG02661	F
HG02668	HG02666	HG02667	M
HG02677	HG02675	HG02676	F
HG02680	HG02678	HG02679	F
HG02683	HG02681	HG02682	F
HG02686	HG02684	HG02685	M
HG02689	HG02687	HG02688	M
HG02692	HG02690	HG02691	F
HG02698	HG02696	HG02697	M
HG02701	HG02699	HG02700	M
HG02704	HG02702	HG02703	F
HG02717	HG02715	HG02716	M
HG02723	HG02721	HG02722	F
HG02726	HG02724	HG02725	F
HG02729	HG02727	HG02728	M
HG02735	HG02733	HG02734	M
HG02738	HG02736	HG02737	M
HG02761	HG02759	HG02760	F
HG02764	HG02762	HG02763	M
HG02770	HG02768	HG02769	F
HG02773	HG02771	HG02772	M
HG02776	HG02774	HG02775	F
HG02785	HG02783	HG02784	F
HG02788	HG02786	HG02787	F
HG02791	HG02789	HG02790	M
HG02794	HG02792	HG02793	M
HG02800	HG02798	HG02799	M
HG02806	HG02804	HG02805	F
HG02809	HG02807	HG02808	F
HG02812	HG02810	HG02811	M
HG02815	HG02813	HG02814	M
HG02818	HG02816	HG02817	F
HG02821	HG02819	HG02820	M
HG02838	HG02836	HG02837	M
HG02841	HG02839	HG02840	F
HG02853	HG02851	HG02852	M
HG02856	HG02854	HG02855	M
HG02862	HG02860	HG02861	F
HG02871	HG02869	HG02870	F
HG02880	HG02878	HG02879	F
HG02883	HG02881	HG02882	M
HG02886	HG02884	HG02885	F
HG02889	HG02887	HG02888	F
HG02892	HG02890	HG02891	M
HG02897	HG02895	HG02896	F
HG02924	HG02923	HG02922	M
HG02945	HG02944	HG02943	F
HG02948	HG02947	HG02946	M
HG02954	HG02953	HG02952	M
HG02966	HG02965	HG02964	M
HG02972	HG02971	HG02970	M
HG02975	HG02973	HG02974	M
HG02978	HG02977	HG02976	F
HG02980	HG02981	HG02979	M
HG02984	HG02982	HG02983	M
HG03008	HG03006	HG03007	M
HG03017	HG03015	HG03016	M
HG03026	HG03024	HG03025	F
HG03029	HG03027	HG03028	M
HG03035	HG03033	HG03034	M
HG03041	HG03039	HG03040	F
HG03047	HG03045	HG03046	F
HG03050	HG03048	HG03049	M
HG03056	HG03054	HG03055	M
HG03065	HG03063	HG03064	M
HG03098	HG03096	HG03097	M
HG03101	HG03100	HG03099	M
HG03110	HG03109	HG03108	F
HG03113	HG03112	HG03111	F
HG03116	HG03115	HG03114	F
HG03119	HG03118	HG03117	F
HG03122	HG03120	HG03121	M
HG03125	HG03124	HG03123	F
HG03128	HG03127	HG03126	M
HG03131	HG03130	HG03129	M
HG03134	HG03133	HG03132	M
HG03137	HG03136	HG03135	M
HG03161	HG03160	HG03159	M
HG03164	HG03163	HG03162	F
HG03170	HG03169	HG03168	M
HG03191	HG03190	HG03189	M
HG03197	HG03196	HG03195	M
HG03200	HG03199	HG03198	F
HG03230	HG03228	HG03229	F
HG03236	HG03234	HG03235	F
HG03239	HG03237	HG03238	F
HG03242	HG03240	HG03241	M
HG03248	HG03246	HG03247	M
HG03251	HG03249	HG03250	F
HG03260	HG03258	HG03259	M
HG03269	HG03268	HG03267	M
HG03272	HG03271	HG03270	F
HG03296	HG03295	HG03294	M
HG03299	HG03298	HG03297	M
HG03302	HG03301	HG03300	M
HG03305	HG03304	HG03303	F
HG03308	HG03307	HG03306	M
HG03310	HG03311	HG03309	F
HG03314	HG03313	HG03312	M
HG03344	HG03343	HG03342	M
HG03350	HG03352	HG03351	M
HG03368	HG03367	HG03366	M
HG03371	HG03370	HG03369	M
HG03374	HG03373	HG03372	F
HG03438	HG03469	HG03470	F
HG03453	HG03451	HG03452	F
HG03456	HG03454	HG03455	M
HG03480	HG03478	HG03479	F
HG03486	HG03484	HG03485	F
HG03489	HG03487	HG03488	M
HG03492	HG03490	HG03491	M
HG03516	HG03515	HG03514	F
HG03519	HG03518	HG03517	M
HG03522	HG03521	HG03520	F
HG03540	HG03538	HG03539	F
HG03576	HG03574	HG03575	F
HG03579	HG03577	HG03578	M
HG03584	HG03582	HG03583	F
HG03596	HG03594	HG03595	M
HG03605	HG03606	HG03607	F
HG03617	HG03615	HG03616	F
HG03620	HG03618	HG03619	F
HG03626	HG03624	HG03625	F
HG03635	HG03633	HG03634	F
HG03641	HG03639	HG03640	M
HG03651	HG03649	HG03650	M
HG03654	HG03652	HG03653	M
HG03669	HG03667	HG03668	F
HG03683	HG03682	HG03684	F
HG03688	HG03885	HG03886	M
HG03701	HG03699	HG03700	M
HG03704	HG03702	HG03703	F
HG03707	HG03705	HG03706	M
HG03710	HG03708	HG03709	M
HG03719	HG03725	HG03722	F
HG03732	HG03727	HG03721	M
HG03763	HG03761	HG03762	M
HG03795	HG03794	HG03793	M
HG03798	HG03797	HG03796	M
HG03801	HG03800	HG03799	F
HG03804	HG03803	HG03802	F
HG03807	HG03806	HG03805	F
HG03816	HG03815	HG03814	F
HG03825	HG03824	HG03823	F
HG03831	HG03830	HG03829	F
HG03834	HG03833	HG03832	F
HG03906	HG03905	HG03904	M
HG03909	HG03908	HG03907	M
HG03915	HG03914	HG03913	F
HG03927	HG03926	HG03925	F
HG03930	HG03929	HG03928	F
HG03942	HG03941	HG03940	M
HG04115	HG03896	HG03894	M
HG04122	HG04127	HG04075	M
HG04133	HG04131	HG04132	F
HG04136	HG04134	HG04135	F
HG04142	HG04140	HG04141	F
HG04148	HG04146	HG04147	F
HG04151	HG04149	HG04150	F
HG04157	HG04155	HG04156	M
HG04160	HG04158	HG04159	M
HG04175	HG04173	HG04174	F
HG04184	HG04182	HG04183	F
HG04187	HG04185	HG04186	M
HG04193	HG04191	HG04192	M
HG04199	HG04100	HG04099	M
HG04217	HG04198	HG04200	F
HG04228	HG04229	HG04227	M
NA06991	NA06993	NA06985	F
NA06995	NA07435	NA07037	M
NA06997	NA06986	NA07045	F
NA07014	NA07051	NA07031	F
NA07019	NA07022	NA07056	F
NA07029	NA06994	NA07000	M
NA07048	NA07034	NA07055	M
NA07348	NA07357	NA07345	F
NA07349	NA07347	NA07346	M
NA10830	NA12154	NA12236	M
NA10831	NA12155	NA12156	F
NA10835	NA12248	NA12249	M
NA10836	NA12274	NA12275	F
NA10837	NA12272	NA12273	M
NA10838	NA12003	NA12004	M
NA10839	NA12005	NA12006	F
NA10840	NA12286	NA12287	F
NA10842	NA11917	NA11918	M
NA10843	NA11919	NA11920	F
NA10845	NA11930	NA11931	M
NA10846	NA12144	NA12145	M
NA10847	NA12146	NA12239	F
NA10851	NA12056	NA12057	M
NA10852	NA12045	NA12046	F
NA10854	NA11839	NA11840	F
NA10855	NA11831	NA11832	F
NA10856	NA11829	NA11830	M
NA10857	NA12043	NA12044	M
NA10859	NA11881	NA11882	F
NA10860	NA11992	NA11993	M
NA10861	NA11994	NA11995	F
NA10863	NA12264	NA12234	F
NA10864	NA11893	NA11894	F
NA10865	NA11891	NA11892	M
NA12329	NA06984	NA06989	F
NA12335	NA12340	NA12341	M
NA12336	NA12342	NA12343	F
NA12344	NA12347	NA12348	M
NA12376	NA12546	NA12489	F
NA12386	NA12399	NA12400	F
NA12485	NA12413	NA12414	M
NA12707	NA12716	NA12717	M
NA12739	NA12748	NA12749	M
NA12740	NA12750	NA12751	F
NA12752	NA12760	NA12761	M
NA12753	NA12762	NA12763	F
NA12766	NA12775	NA12776	M
NA12767	NA12777	NA12778	F
NA12801	NA12812	NA12813	M
NA12802	NA12814	NA12815	F
NA12817	NA12827	NA12828	M
NA12818	NA12829	NA12830	F
NA12832	NA12842	NA12843	F
NA12864	NA12872	NA12873	M
NA12865	NA12874	NA12875	F
NA12877	NA12889	NA12890	M
NA12878	NA12891	NA12892	F
NA18484	NA18486	NA18488	F
NA18485	NA18487	NA18489	M
NA18497	NA18498	NA18499	M
NA18500	NA18501	NA18502	M
NA18503	NA18504	NA18505	M
NA18506	NA18507	NA18508	M
NA18515	NA18516	NA18517	M
NA18518	NA18519	NA18520	F
NA18521	NA18522	NA18523	M
NA18854	NA18853	NA18852	M
NA18857	NA18856	NA18855	M
NA18860	NA18859	NA18858	M
NA18863	NA18862	NA18861	M
NA18869	NA18868	NA18867	M
NA18872	NA18871	NA18870	M
NA18875	NA18874	NA18873	F
NA18906	NA18877	NA18876	F
NA18911	NA18910	NA18909	M
NA18914	NA18913	NA18912	M
NA18925	NA18923	NA18924	M
NA18930	NA18917	NA18916	F
NA18935	NA18934	NA18933	M
NA19094	NA19092	NA19093	F
NA19097	NA19096	NA19095	F
NA19100	NA19098	NA19099	F
NA19103	NA19101	NA19102	M
NA19109	NA19107	NA19108	F
NA19115	NA19113	NA19114	F
NA19120	NA19119	NA19116	M
NA19123	NA19121	NA19122	M
NA19129	NA19128	NA19127	F
NA19132	NA19130	NA19131	F
NA19139	NA19138	NA19137	M
NA19142	NA19141	NA19140	M
NA19145	NA19144	NA19143	M
NA19148	NA19146	NA19147	F
NA19151	NA19150	NA19149	F
NA19154	NA19153	NA19152	M
NA19161	NA19160	NA19159	M
NA19173	NA19171	NA19172	M
NA19174	NA19117	NA19118	M
NA19177	NA19175	NA19176	M
NA19186	NA19184	NA19185	M
NA19191	NA19189	NA19190	M
NA19199	NA19198	NA19197	F
NA19202	NA19200	NA19201	F
NA19205	NA19203	NA19204	M
NA19208	NA19207	NA19206	M
NA19211	NA19210	NA19209	M
NA19215	NA19213	NA19214	F
NA19221	NA19223	NA19222	F
NA19224	NA19226	NA19225	M
NA19237	NA19236	NA19235	F
NA19240	NA19239	NA19238	F
NA19249	NA19248	NA19247	M
NA19258	NA19256	NA19257	M
NA19650	NA19649	NA19648	M
NA19653	NA19652	NA19651	F
NA19656	NA19655	NA19654	F
NA19659	NA19658	NA19657	F
NA19665	NA19664	NA19663	F
NA19671	NA19670	NA19669	F
NA19677	NA19676	NA19675	F
NA19683	NA19682	NA19681	F
NA19686	NA19685	NA19684	F
NA19702	NA19700	NA19701	M
NA19705	NA19703	NA19704	M
NA19718	NA19717	NA19716	F
NA19721	NA19720	NA19719	F
NA19724	NA19723	NA19722	M
NA19727	NA19726	NA19725	M
NA19730	NA19729	NA19728	F
NA19733	NA19732	NA19731	F
NA19748	NA19747	NA19746	F
NA19751	NA19750	NA19749	M
NA19757	NA19756	NA19755	M
NA19760	NA19759	NA19758	F
NA19763	NA19762	NA19761	F
NA19772	NA19771	NA19770	M
NA19775	NA19774	NA19773	F
NA19778	NA19777	NA19776	M
NA19781	NA19780	NA19779	F
NA19784	NA19783	NA19782	M
NA19787	NA19786	NA19785	M
NA19790	NA19789	NA19788	F
NA19796	NA19795	NA19794	M
NA19828	NA19818	NA19819	M
NA19836	NA19834	NA19835	F
NA19902	NA19900	NA19901	F
NA19918	NA19916	NA19917	M
NA19919	NA19908	NA19909	M
NA19924	NA19922	NA19923	F
NA19983	NA19982	NA19713	F
NA20128	NA20126	NA20127	F
NA20129	NA19920	NA19921	F
NA20279	NA20278	NA20282	M
NA20358	NA20356	NA20357	M
